"Qualifying Name","Name of Area","FIPS","Nation","State","County","Census Tracts","Cities","Tenant Congressional District","Projects","Core Based Statistical Areas","Public Housing Agencies","People in Subsidized Housing (Summary of all HUD Programs)","Average Individual Income Per Year (All Individuals in Subsidized Housing Units) (Summary of all HUD Programs)","Aggregate Household Income (All Households in Subsidized Housing Units) (Summary of all HUD Programs)","Average Family Expenditure per month (Payment toward Rent and Utilities) (Summary of all HUD Programs)","Average HUD Expenditure per month (Federal Spending) (Summary of all HUD Programs)","Percentage of the Population Below Poverty Level in the Census Tract Where HUD Assisted Families Reside (Summary of all HUD Programs)","Households in Subsidized Housing (Summary of all HUD Programs)","Households in Subsidized Housing: Households Headed by Female (Summary of all HUD Programs)","Households in Subsidized Housing: Households Headed by a Female With Children (Summary of all HUD Programs)"
"Michigan","Michigan","26","00","26",,,,,,,,256214,6354,1627870918,293,543,30,134858,101143.5,43154.56
"Minnesota","Minnesota","27","00","27",,,,,,,,174056,7191,1251620108,338,547,22,85237,60518.27,24718.73
"Mississippi","Mississippi","28","00","28",,,,,,,,129150,4612,595685776,258,528,34,53396,44852.64,27231.96
"Missouri","Missouri","29","00","29",,,,,,,,171513,5908,1013358249,275,512,27,85149,65564.73,30653.64
"Montana","Montana","30","00","30",,,,,,,,22836,6465,147628734,277,507,21,12386,8546.34,3468.08
"Nebraska","Nebraska","31","00","31",,,,,,,,50522,6856,346390268,312,433,21,25468,18336.96,7895.08
"Nevada","Nevada","32","00","32",,,,,,,,50289,5490,276115902,324,751,25,21982,16486.5,8572.98
"New Hampshire","New Hampshire","33","00","33",,,,,,,,36035,9409,339062152,380,687,16,20966,14885.86,4402.86
"New Jersey","New Jersey","34","00","34",,,,,,,,307280,8110,2492093003,385,876,23,155087,117866.12,41873.49
"New Mexico","New Mexico","35","00","35",,,,,,,,48006,5407,259553354,275,522,26,22621,16513.33,8143.56
"New York","New York","36","00","36",,,,,,,,1173703,8633,10132704850,437,842,31,552191,408621.34,154613.48
"North Carolina","North Carolina","37","00","37",,,,,,,,257073,5163,1327324250,273,525,29,117775,96575.5,51821
"North Dakota","North Dakota","38","00","38",,,,,,,,18546,7434,137878166,298,476,15,10366,6737.9,2591.5
"Ohio","Ohio","39","00","39",,,,,,,,426524,5327,2272049988,259,558,32,213018,161893.68,78816.66
"Oklahoma","Oklahoma","40","00","40",,,,,,,,99943,5279,527580074,252,493,28,49814,37360.5,18431.18
"Oregon","Oregon","41","00","41",,,,,,,,101831,6292,640784241,333,603,23,51087,35760.9,14304.36
"Pennsylvania","Pennsylvania","42","00","42",,,,,,,,388139,6974,2706980920,313,629,27,202255,153713.8,62699.05
"Rhode Island","Rhode Island","44","00","44",,,,,,,,62297,8536,531742379,346,721,24,36043,25950.96,8289.89
"South Carolina","South Carolina","45","00","45",,,,,,,,131862,5062,667535112,264,550,29,59053,50195.05,28935.97
"South Dakota","South Dakota","46","00","46",,,,,,,,21629,6661,144060976,280,473,17,11762,7998.16,3293.36
"Tennessee","Tennessee","47","00","47",,,,,,,,207448,5413,1122982080,264,506,32,100320,78249.6,39124.8
"Texas","Texas","48","00","48",,,,,,,,603787,5284,3190081062,304,605,28,256458,207730.98,115406.1
"Utah","Utah","49","00","49",,,,,,,,37480,6101,228645693,311,593,21,18171,12537.99,5451.3
"Vermont","Vermont","50","00","50",,,,,,,,21051,8458,178046767,366,702,17,11719,7968.92,2695.37
"Virginia","Virginia","51","00","51",,,,,,,,213627,5879,1256023818,307,667,24,96781,77424.8,39680.21
"Washington","Washington","53","00","53",,,,,,,,174292,6765,1179129783,338,693,21,85649,58241.32,23125.23
"West Virginia","West Virginia","54","00","54",,,,,,,,57357,5812,333364832,256,494,24,31028,22029.88,9308.4
"Wisconsin","Wisconsin","55","00","55",,,,,,,,124112,7774,964802712,320,459,21,70403,51394.19,19008.81
"Wyoming","Wyoming","56","00","56",,,,,,,,9317,7371,68678040,299,526,13,5442,3863.82,1469.34
"American Samoa","American Samoa","60","00","60",,,,,,,,,,,,,,,,
"Guam","Guam","66","00","66",,,,,,,,13314,3084,41061168,304,1034,0,3186,2516.94,2007.18
"Northern Mariana Islands","Northern Mariana Islands","69","00","69",,,,,,,,1919,2002,3841313,210,914,,413,301.49,260.19
"Puerto Rico","Puerto Rico","72","00","72",,,,,,,,240297,1947,467945146,105,581,45,101243,84031.69,48596.64
"U.S. Virgin Islands","U.S. Virgin Islands","78","00","78",,,,,,,,12917,5256,67883975,282,900,0,5275,4378.25,2532
"Missing","Missing","XX","00","XX",,,,,,,,290,10023,2906740,557,1508,,142,99.4,48.28
