"Qualifying Name","Name of Area","FIPS","Nation","State","County","Total Population","Total Population: White Alone","Total Population: Black Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Two or More Races","% Total Population: White Alone","% Total Population: Black Alone","% Total Population: American Indian and Alaska Native Alone","% Total Population: Asian Alone","% Total Population: Native Hawaiian and Other Pacific Islander Alone","% Total Population: Two or More Races"
"North Carolina","North Carolina","37","00","37",,10488084,7399487,2330563,165597,334299,13130,245008,70.55,22.22,1.58,3.19,0.13,2.34
"North Dakota","North Dakota","38","00","38",,762062,662555,25984,42465,12860,615,17583,86.94,3.41,5.57,1.69,0.08,2.31
"Ohio","Ohio","39","00","39",,11689100,9552736,1525570,34010,291478,7055,278251,81.72,13.05,0.29,2.49,0.06,2.38
"Oklahoma","Oklahoma","40","00","40",,3956971,2927354,307819,371104,94253,8581,247860,73.98,7.78,9.38,2.38,0.22,6.26
"Oregon","Oregon","41","00","41",,4217737,3655136,93740,77115,204739,19245,167762,86.66,2.22,1.83,4.85,0.46,3.98
"Pennsylvania","Pennsylvania","42","00","42",,12801989,10447062,1540092,50687,481877,9994,272277,81.6,12.03,0.4,3.76,0.08,2.13
"Rhode Island","Rhode Island","44","00","44",,1059361,885518,90108,11453,39536,2125,30621,83.59,8.51,1.08,3.73,0.2,2.89
"South Carolina","South Carolina","45","00","45",,5148714,3532048,1388017,28236,94111,5065,101237,68.6,26.96,0.55,1.83,0.1,1.97
"South Dakota","South Dakota","46","00","46",,884659,748070,20332,80004,13699,787,21767,84.56,2.3,9.04,1.55,0.09,2.46
"Tennessee","Tennessee","47","00","47",,6829174,5354405,1164461,32661,134076,6578,136993,78.4,17.05,0.48,1.96,0.1,2.01
"Texas","Texas","48","00","48",,28995881,22806130,3739221,294902,1510470,43212,601946,78.65,12.9,1.02,5.21,0.15,2.08
"Utah","Utah","49","00","49",,3205958,2904132,47537,49720,85727,33979,84863,90.59,1.48,1.55,2.67,1.06,2.65
"Vermont","Vermont","50","00","50",,623989,588102,8774,2441,11964,247,12461,94.25,1.41,0.39,1.92,0.04,2
"Virginia","Virginia","51","00","51",,8535519,5922648,1696911,46602,589710,10092,269556,69.39,19.88,0.55,6.91,0.12,3.16
"Washington","Washington","53","00","53",,7614893,5977696,331924,146799,727986,60349,370139,78.5,4.36,1.93,9.56,0.79,4.86
"West Virginia","West Virginia","54","00","54",,1792147,1675122,64610,4585,14703,530,32597,93.47,3.61,0.26,0.82,0.03,1.82
"Wisconsin","Wisconsin","55","00","55",,5822434,5067781,390543,68628,175279,3419,116784,87.04,6.71,1.18,3.01,0.06,2.01
"Wyoming","Wyoming","56","00","56",,578759,535371,7467,15778,6571,596,12976,92.5,1.29,2.73,1.14,0.1,2.24
"Puerto Rico","Puerto Rico","72","00","72",,3193694,,,,,,,,,,,,
